No.,Week,Department,Task,Start Date,End Date,Progress,Stores Unable,Status
1,W38,"Marketing","Update POG quầy Đông lạnh",2025-09-15,2025-09-15,"0 / 0",0,"On Progress"
2,W38,"Order","Kiểm tra trưng bày quầy Đông lạnh",2025-09-15,2025-09-15,"0 / 0",0,"Done"
3,W38,"Marketing","Kiểm tra trưng bày quầy Đồ khô",2025-09-15,2025-09-16,"0 / 0",0,"On Progress"
4,W38,"Operations","Test DWS ca Sáng tại Front-end",2025-09-15,2025-09-15,"0 / 0",0,"On Progress"
5,W38,"Import","Kiểm kê nhanh khu Delica",2025-09-15,2025-09-18,"0 / 0",0,"On Progress"
6,W38,"Operations","Test DWS ca Tối tại Bakery",2025-09-15,2025-09-18,"0 / 0",0,"On Progress"
7,W38,"Quality Control","Test DWS ca Tối tại Fresh",2025-09-15,2025-09-18,"0 / 0",0,"On Progress"
8,W38,"Admin","Test DWS ca Tối tại Perishable",2025-09-15,2025-09-15,"0 / 0",0,"On Progress"
9,W38,"Order","Đối chiếu tồn kho Mẹ & Bé",2025-09-15,2025-09-18,"0 / 0",0,"Done"
10,W38,"Operations","Kiểm tra hạn sử dụng nhóm Mẹ & Bé",2025-09-15,2025-09-15,"0 / 0",0,"On Progress"
11,W38,"Admin","Kiểm tra giá & label Rau",2025-09-15,2025-09-18,"0 / 0",0,"Done"
12,W38,"Human Resources","Test DWS ca Tối tại Grocery",2025-09-15,2025-09-17,"0 / 0",0,"On Progress"
13,W38,"Quality Control","Test DWS ca Chiều tại Kho",2025-09-15,2025-09-18,"0 / 0",0,"Done"
14,W38,"Order","Báo cáo phản hồi KH ",2025-09-15,2025-09-18,"0 / 0",0,"Done"
15,W38,"Operations","Đào tạo nhân viên mới tại Bakery",2025-09-15,2025-09-16,"0 / 0",0,"On Progress"
16,W38,"Human Resources","Đào tạo nhân viên mới tại Kho",2025-09-15,2025-09-15,"0 / 0",0,"Done"
17,W38,"Order","Báo cáo doanh thu ca Sáng",2025-09-15,2025-09-15,"0 / 0",0,"On Progress"
18,W38,"Operations","Checklist an toàn thực phẩm – Bakery",2025-09-16,2025-09-19,"0 / 0",0,"Done"
19,W38,"Quality Control","Kiểm tra hạn sử dụng nhóm Rau",2025-09-16,2025-09-16,"0 / 0",0,"On Progress"
20,W38,"Admin","Báo cáo doanh thu ca Tối",2025-09-16,2025-09-16,"0 / 0",0,"Done"
21,W38,"Quality Control","Đào tạo nhân viên mới tại Fresh",2025-09-16,2025-09-18,"0 / 0",0,"Done"
22,W38,"Operations","Update POG quầy Bánh mì",2025-09-16,2025-09-19,"0 / 0",0,"On Progress"
23,W38,"Quality Control","Checklist an toàn thực phẩm",2025-09-16,2025-09-19,"0 / 0",0,"On Progress"
24,W38,"Human Resources","Soát OOS & bổ sung hàng Cá",2025-09-16,2025-09-19,"0 / 0",0,"On Progress"
25,W38,"Marketing","Chụp WS báo cáo",2025-09-16,2025-09-19,"0 / 0",0,"On Progress"
26,W38,"Human Resources","Checklist an toàn thực phẩm – Fresh",2025-09-16,2025-09-18,"0 / 0",0,"Done"
27,W38,"Import","Kiểm tra hạn sử dụng nhóm Đồ uống",2025-09-16,2025-09-18,"0 / 0",0,"Done"
28,W38,"Admin","Test DWS ca Tối tại Kho",2025-09-16,2025-09-18,"0 / 0",0,"Done"
29,W38,"Operations","Theo dõi đơn hàng online tại Front-end",2025-09-16,2025-09-19,"0 / 0",0,"On Progress"
30,W38,"Order","Soát OOS & bổ sung hàng Mẹ & Bé",2025-09-16,2025-09-17,"0 / 0",0,"On Progress"
31,W38,"Marketing","Chụp ảnh POSM chương trình Flash Sale",2025-09-16,2025-09-17,"0 / 0",0,"Done"
32,W38,"Order","Đào tạo nhân viên mới tại Perishable",2025-09-16,2025-09-16,"0 / 0",0,"Done"
33,W38,"Marketing","Đối chiếu tồn kho Rau",2025-09-16,2025-09-17,"0 / 0",0,"Not Yet"
34,W38,"Order","Kiểm tra trưng bày quầy Cá",2025-09-16,2025-09-16,"0 / 0",0,"On Progress"
35,W38,"Operations","Kiểm tra vệ sinh khu Kho",2025-09-16,2025-09-19,"0 / 0",0,"Done"
36,W38,"Human Resources","Kiểm tra trưng bày quầy Mẹ & Bé",2025-09-17,2025-09-20,"0 / 0",0,"Not Yet"
37,W38,"Admin","Đào tạo nhân viên mới tại Front-end",2025-09-17,2025-09-17,"0 / 0",0,"Not Yet"
38,W38,"Admin","Đối chiếu tồn kho Thịt",2025-09-17,2025-09-18,"0 / 0",0,"On Progress"
39,W38,"Admin","Theo dõi đơn hàng online tại Bakery",2025-09-17,2025-09-18,"0 / 0",0,"Done"
40,W38,"Admin","Đối chiếu tồn kho Đông lạnh",2025-09-17,2025-09-18,"0 / 0",0,"Not Yet"
41,W38,"Admin","Kiểm tra trưng bày quầy Thịt",2025-09-17,2025-09-20,"0 / 0",0,"Done"
42,W38,"Admin","Test DWS ca Sáng tại Delica",2025-09-17,2025-09-17,"0 / 0",0,"Not Yet"
43,W38,"Order","Test DWS ca Chiều tại Delica",2025-09-17,2025-09-19,"0 / 0",0,"Done"
44,W38,"Import","Test DWS ca Sáng tại Bakery",2025-09-17,2025-09-17,"0 / 0",0,"Done"
45,W38,"Order","Update POG quầy Gia vị",2025-09-17,2025-09-17,"0 / 0",0,"On Progress"
46,W38,"Admin","Kiểm tra hạn sử dụng nhóm Sữa",2025-09-18,2025-09-20,"0 / 0",0,"Not Yet"
47,W38,"Order","Checklist an toàn thực phẩm – Delica",2025-09-18,2025-09-19,"0 / 0",0,"On Progress"
48,W38,"Quality Control","Kiểm tra trưng bày quầy Gia vị",2025-09-18,2025-09-19,"0 / 0",0,"Not Yet"
49,W38,"Quality Control","Update POG quầy Thịt",2025-09-18,2025-09-21,"0 / 0",0,"On Progress"
50,W38,"Marketing","Update POG quầy Đồ uống",2025-09-18,2025-09-21,"0 / 0",0,"Done"
51,W38,"Marketing","Báo cáo phản hồi KH – Fresh",2025-09-18,2025-09-21,"0 / 0",0,"On Progress"
52,W38,"Import","Soát OOS & bổ sung hàng Rau",2025-09-18,2025-09-18,"0 / 0",0,"Done"
53,W38,"Quality Control","Đối chiếu tồn kho Đồ uống",2025-09-18,2025-09-20,"0 / 0",0,"On Progress"
54,W38,"Marketing","Test DWS ca Tối tại Front-end",2025-09-18,2025-09-18,"0 / 0",0,"On Progress"
55,W38,"Human Resources","Báo cáo phản hồi KH – Grocery",2025-09-18,2025-09-18,"0 / 0",0,"Not Yet"
56,W38,"Operations","Test DWS ca Chiều tại Perishable",2025-09-18,2025-09-19,"0 / 0",0,"Not Yet"
57,W38,"Operations","Kiểm tra giá & label Gia vị",2025-09-18,2025-09-18,"0 / 0",0,"On Progress"
